model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7698,0.721,0.8175,"[0.757, 0.76, 0.802, 0.863, 0.681]"
MRF,0.5619,0.5066,0.6152,"[0.561, 0.5, 0.549, 0.634, 0.508]"
BMCA+MRF,0.771,0.7224,0.8201,"[0.745, 0.755, 0.793, 0.866, 0.713]"
LIBRA,0.4644,0.4014,0.5274,[]
