model,auc,auc_ci_low_95,auc_ci_high_95,best_inner_cv_auc,n_features
bmca_catboost,0.8319,0.7583,0.8953,0.7706,29
bmca_forward_selected_catboost,0.8175,0.7455,0.8769,0.7672,30
