estimator,auc,auc_ci_low_95,auc_ci_high_95,coef,se,odds_ratio,or_ci_low_95,or_ci_high_95,pvalue
raw_score,0.4353,0.3266,0.5577,,,,,,
conditional_logit,0.5647,0.4423,0.6734,-0.001823524401263275,0.00858169531775154,0.9981781372092086,0.9815293739031724,1.015109297891207,0.8317247818524438
