model,auc,auc_ci_low_95,auc_ci_high_95,best_inner_cv_auc,n_features,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_bagging_temperature,param_border_count,param_min_data_in_leaf,param_random_strength
BMCA baseline,0.8233,0.7475,0.8897,0.7723,29,643,0.009990373912308418,6,0.20110371104368907,0.9949778991271241,107,7,8.45703292247466
BMCA cdrsb-adjusted,0.8344,0.7647,0.897,0.7802,29,985,0.013414636460000295,3,0.13199213404821486,0.688507353100162,95,3,9.392785179047184
BMCA multi-adjusted,0.8244,0.7517,0.8889,0.7787,29,866,0.005806546288133194,5,0.014057618759547126,0.45218186862941423,163,13,5.32708017265092
