model,auc,auc_ci_low_95,auc_ci_high_95,best_inner_cv_auc,n_features,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_bagging_temperature,param_border_count,param_min_data_in_leaf,param_random_strength
BMCA baseline,0.8231,0.7522,0.8856,0.7748,29,965,0.007689042698310696,4,0.04289913204981067,0.5615240003935332,229,32,5.555382772646056
BMCA + mrf_aug_score,0.8111,0.7292,0.8753,0.7822,30,303,0.015951860798906477,5,0.006853569093835887,0.019471106871159244,237,30,7.508164679660991
