feature,coefficient,abs_coefficient
libra_supported_late_life_raw,0.48557458653532326,0.48557458653532326
education_years,-0.17180087679683764,0.17180087679683764
BMI,-0.01906856401467991,0.01906856401467991
social_structural_engagement,0.0,0.0
education_retired,0.0,0.0
years_retired,0.0,0.0
married_homeowner,0.0,0.0
ses_score,0.0,0.0
tobacco_burden,0.0,0.0
smoking_history,0.0,0.0
weight_kg,0.0,0.0
height_m,0.0,0.0
systolic_bp,0.0,0.0
social_isolation_score,0.0,0.0
diastolic_bp,0.0,0.0
pulse,0.0,0.0
serum_glucose,0.0,0.0
hypertension,0.0,0.0
serum_creatinine,0.0,0.0
eGFR,0.0,0.0
renal_dysfunction,0.0,0.0
serum_cholesterol,0.0,0.0
heart_disease,0.0,0.0
vascular_treatment_gap,0.0,0.0
metabolic_risk_count,0.0,0.0
modifiable_risk_core_count,0.0,0.0
vascular_risk_count,0.0,0.0
lifestyle_risk_count,0.0,0.0
libra_supported_raw,0.0,0.0
libra_supported_rescaled_0_100,0.0,0.0
