observed_diff,ci_low,ci_high,p_value,n_boot,comparison
-0.07388888888888889,-0.13945138888888892,-0.006111111111111067,0.9831,10000,Neural BMCA-only vs CatBoost
-0.07111111111111112,-0.13472222222222208,-0.010833333333333469,0.9897,10000,Neural multi-task vs CatBoost
0.002777777777777768,-0.040833333333333166,0.04500000000000004,0.4434,10000,Neural multi-task vs Neural BMCA-only
