model,auc,auc_ci_low_95,auc_ci_high_95,best_inner_cv_auc,n_features,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_bagging_temperature,param_border_count,param_min_data_in_leaf,param_random_strength
BMCA baseline,0.8211,0.75,0.8883,0.7696,29,998,0.009663236236881504,3,0.012320858331688039,0.48133330262062085,211,34,4.238437440288266
BMCA + contrast score,0.7972,0.7116,0.8667,0.7723,30,217,0.01589388698749199,5,0.6307893648439009,0.40244406434939556,229,45,7.460171575658378
