comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,-0.0045,-0.0346,0.0263,0.6139,10000
MRF vs BMCA,-0.2087,-0.3044,-0.1136,1.0,10000
