comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,-0.0059,-0.0427,0.0326,0.6164,10000
MRF vs BMCA,-0.2709,-0.3631,-0.1766,1.0,10000
