model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7861,0.7222,0.8439,"[0.639, 0.866, 0.825, 0.732, 0.78]"
MRF,0.5153,0.4452,0.5859,"[0.517, 0.395, 0.54, 0.602, 0.527]"
BMCA+MRF,0.7803,0.7205,0.8386,"[0.646, 0.805, 0.838, 0.84, 0.742]"
