comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,0.0035,-0.0329,0.0395,0.4244,10000
MRF vs BMCA,-0.2278,-0.3255,-0.1303,1.0,10000
