model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7488,0.6906,0.8125,"[0.794, 0.748, 0.645, 0.788, 0.778]"
MRF,0.5569,0.4776,0.6294,"[0.433, 0.463, 0.577, 0.615, 0.65]"
BMCA+MRF,0.7606,0.7015,0.82,"[0.798, 0.791, 0.728, 0.763, 0.78]"
