model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7761,0.7152,0.8373,"[0.683, 0.828, 0.667, 0.858, 0.917]"
MRF,0.5675,0.4899,0.6419,"[0.574, 0.599, 0.555, 0.443, 0.645]"
BMCA+MRF,0.7716,0.7086,0.8357,"[0.664, 0.841, 0.653, 0.9, 0.875]"
