model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7798,0.7209,0.8396,"[0.762, 0.769, 0.892, 0.76, 0.847]"
MRF,0.552,0.4756,0.6274,"[0.512, 0.615, 0.562, 0.51, 0.532]"
BMCA+MRF,0.7833,0.7235,0.8398,"[0.762, 0.782, 0.858, 0.733, 0.845]"
