model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7749,0.7169,0.8335,"[0.848, 0.814, 0.703, 0.79, 0.765]"
MRF,0.5533,0.4818,0.6234,"[0.431, 0.447, 0.522, 0.585, 0.795]"
BMCA+MRF,0.7494,0.6844,0.8144,"[0.825, 0.785, 0.752, 0.755, 0.76]"
LIBRA,0.4813,0.4034,0.5646,[]
