comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,-0.0255,-0.0633,0.0112,0.9053,10000
MRF vs BMCA,-0.2215,-0.3146,-0.1313,1.0,10000
LIBRA vs BMCA,-0.2936,-0.383,-0.2059,1.0,10000
