model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7811,0.7182,0.8387,"[0.841, 0.741, 0.767, 0.735, 0.773]"
MRF,0.5499,0.4795,0.6244,"[0.61, 0.556, 0.503, 0.583, 0.51]"
BMCA+MRF,0.7488,0.6887,0.8078,"[0.832, 0.746, 0.725, 0.733, 0.815]"
