model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7651,0.6731,0.8533,"[0.82, 0.84, 0.765, 0.84, 0.753]"
MRF,0.5668,0.4617,0.6687,"[0.54, 0.57, 0.617, 0.753, 0.395]"
BMCA+MRF,0.7365,0.6501,0.8198,"[0.87, 0.89, 0.728, 0.827, 0.617]"
