cohort,comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
clean,BMCA+MRF vs BMCA,-0.008,-0.0241,0.0096,0.8069,10000
clean,MRF vs BMCA,-0.1343,-0.2229,-0.043,0.9982,10000
clean,LIBRA vs BMCA,-0.1561,-0.2584,-0.0546,0.9985,10000
