model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.766,0.7069,0.829,"[0.805, 0.766, 0.718, 0.798, 0.763]"
MRF,0.581,0.5086,0.6559,"[0.447, 0.474, 0.605, 0.63, 0.757]"
BMCA+MRF,0.7566,0.6968,0.8218,"[0.812, 0.782, 0.758, 0.757, 0.728]"
