comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,-0.0093,-0.0441,0.0254,0.6993,10000
MRF vs BMCA,-0.1849,-0.2783,-0.0915,1.0,10000
