estimator,auc,auc_ci_low_95,auc_ci_high_95,coef,se,odds_ratio,or_ci_low_95,or_ci_high_95,pvalue
raw_score,0.564,0.4417,0.7026,,,,,,
conditional_logit,0.436,0.2974,0.5583,-0.014148796945577226,0.012533902339667202,0.9859508268760546,0.9620250452258022,1.010471648156945,0.2589644389617469
