estimator,auc,auc_ci_low_95,auc_ci_high_95,coef,se,odds_ratio,or_ci_low_95,or_ci_high_95,pvalue
raw_score,0.4355,0.2051,0.6778,,,,,,
conditional_logit,0.5645,0.3222,0.7949,-0.011586175665763096,0.016423334596438608,0.9884806855962823,0.9571689900624119,1.0208166749459626,0.48051757509915316
