column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
tobacco_burden,469,281,0.37466666666666665,127,0.0,324,0.6908315565031983,469,-0.06238051253625574,0.18200693244069951,71,29,0.29,31,0.0,39,0.5492957746478874,71,-0.11467767452102809,0.2624965991654678,152,0,,0.08466666666666667,0.1415357818553109,0.05229716198477235,0.11093165990725505,0,0,0,0,1,
alcohol_burden,509,241,0.32133333333333336,13,0.0,497,0.9764243614931237,509,-0.0024944893164949786,0.00887701541201671,77,23,0.23,4,0.0,74,0.961038961038961,77,-0.02551690044160473,0.03186184841183969,16,0,,0.09133333333333335,0.015385400454162701,0.023022411125109752,0.16131002057777524,0,0,0,0,1,
alcohol_abuse_history,515,235,0.31333333333333335,2,0.0,497,0.9650485436893204,515,0.03495145631067961,0.03372985201244227,78,22,0.22,2,0.0,74,0.9487179487179487,78,0.05128205128205128,0.04865220249835634,2,1,1,0.09333333333333335,0.01633059497137168,0.016330594971371667,0.08046382916283734,0,0,0,0,1,
current_smoking,515,235,0.31333333333333335,2,0.0,462,0.8970873786407767,515,0.1029126213592233,0.09232161372419644,78,22,0.22,2,0.0,68,0.8717948717948718,78,0.1282051282051282,0.11176857330703485,2,1,1,0.09333333333333335,0.025292506845904894,0.025292506845904894,0.07917641110058102,0,0,0,0,1,
heart_disease,515,235,0.31333333333333335,2,1.0,325,0.6310679611650486,515,0.6310679611650486,0.23282118955603728,78,22,0.22,2,1.0,56,0.717948717948718,78,0.717948717948718,0.2024983563445102,2,1,1,0.09333333333333335,0.08688075678366936,0.08688075678366936,0.18622351052068334,0,0,0,0,1,
renal_dysfunction,515,235,0.31333333333333335,2,1.0,262,0.5087378640776699,515,0.5087378640776699,0.2499236497313602,78,22,0.22,2,1.0,40,0.5128205128205128,78,0.5128205128205128,0.24983563445101908,2,1,1,0.09333333333333335,0.00408264874284292,0.00408264874284292,0.00816726371192735,0,0,0,0,1,
years_retired,585,165,0.22,45,13.0,36,0.06153846153846154,585,11.411965811965812,75.24737818686536,81,19,0.19,33,18.0,9,0.1111111111111111,81,11.864197530864198,79.91982929431488,46,0,,0.03,0.04957264957264956,0.45223171889838554,0.051342385775295804,0,0,0,0,1,
education_retired,739,11,0.014666666666666666,16,0.0,154,0.2083897158322057,739,12.925575101488498,49.481605724738664,97,3,0.03,10,18.0,20,0.20618556701030927,97,13.618556701030927,42.17408863853757,16,0,,0.015333333333333332,0.002204148821896429,0.6929815995424295,0.1023662926668851,0,0,0,0,1,
retired,739,11,0.014666666666666666,2,1.0,585,0.7916102841677943,739,0.7916102841677943,0.16496344216757827,97,3,0.03,2,1.0,81,0.8350515463917526,97,0.8350515463917526,0.13774046126049527,2,1,1,0.015333333333333332,0.04344126222395828,0.04344126222395828,0.11166277658958546,0,0,0,0,1,
retired_lives_alone,739,11,0.014666666666666666,2,0.0,705,0.9539918809201624,739,0.046008119079837616,0.043891372058573096,97,3,0.03,2,0.0,89,0.9175257731958762,97,0.08247422680412371,0.07567222871718568,2,1,1,0.015333333333333332,0.036466107724286156,0.036466107724286094,0.14914370087185141,0,0,0,0,1,
BMI,748,2,0.0026666666666666666,725,25.696098390791075,3,0.004010695187165776,748,27.80258062798715,134.05469257176622,100,0,0.0,100,38.625485698725406,1,0.01,100,27.14888750675894,20.479516266615565,821,0,,0.0026666666666666666,0.005989304812834224,0.653693121228212,0.0743663722583189,0,0,0,0,1,
obesity,748,2,0.0026666666666666666,2,0.0,578,0.7727272727272727,748,0.22727272727272727,0.17561983471074374,100,0,0.0,2,0.0,76,0.76,100,0.24,0.1824,2,1,1,0.0026666666666666666,0.012727272727272698,0.012727272727272726,0.030081314102301897,0,0,0,0,1,
height_m,749,1,0.0013333333333333333,194,1.6764,35,0.04672897196261682,749,1.6797516154873167,0.01339710990246363,100,0,0.0,58,1.7018,7,0.07,100,1.6787522,0.009446799663159998,206,0,,0.0013333333333333333,0.023271028037383186,0.000999415487316746,0.00935138326544423,0,0,0,0,1,
weight_kg,749,1,0.0013333333333333333,472,70.76040972,9,0.012016021361815754,749,77.5298785572924,505.188386445552,100,0,0.0,85,72.57477920000001,4,0.04,100,76.80504385799001,258.52615054181354,507,0,,0.0013333333333333333,0.027983978638184248,0.7248346993023915,0.03709269981800055,0,0,0,0,1,
community_dwelling,750,0,0.0,2,1.0,716,0.9546666666666667,750,0.9546666666666667,0.04327822222222223,100,0,0.0,2,1.0,98,0.98,100,0.98,0.019599999999999996,2,1,1,0.0,0.02533333333333332,0.02533333333333332,0.1428753174239296,0,0,0,0,1,
depression,750,0,0.0,2,0.0,629,0.8386666666666667,750,0.16133333333333333,0.1353048888888889,100,0,0.0,2,0.0,92,0.92,100,0.08,0.0736,2,1,1,0.0,0.08133333333333337,0.08133333333333333,0.2516571463384306,0,0,0,0,1,
diabetes,750,0,0.0,2,0.0,691,0.9213333333333333,750,0.07866666666666666,0.07247822222222224,100,0,0.0,2,0.0,93,0.93,100,0.07,0.06509999999999999,2,1,1,0.0,0.008666666666666711,0.008666666666666656,0.03304397192266939,0,0,0,0,1,
diastolic_bp,750,0,0.0,53,70.0,58,0.07733333333333334,750,73.91866666666667,99.3227182222222,100,0,0.0,32,80.0,8,0.08,100,73.84,65.27439999999999,53,0,,0.0,0.0026666666666666644,0.07866666666666333,0.00867150806680136,0,0,0,0,1,
education_years,750,0,0.0,15,16.0,193,0.25733333333333336,750,16.356,6.8719306666666675,100,0,0.0,9,18.0,23,0.23,100,16.16,6.7143999999999995,15,0,,0.0,0.02733333333333335,0.1960000000000015,0.07520037028031086,0,0,0,0,1,
has_antidepressant_med,750,0,0.0,2,0.0,730,0.9733333333333334,750,0.02666666666666667,0.025955555555555558,100,0,0.0,1,0.0,100,1.0,100,0.0,0.0,2,1,1,0.0,0.026666666666666616,0.02666666666666667,0.23408229439226114,0,0,0,0,1,
has_antihypertensive_med,750,0,0.0,2,0.0,661,0.8813333333333333,750,0.11866666666666667,0.10458488888888887,100,0,0.0,2,0.0,87,0.87,100,0.13,0.11309999999999999,2,1,1,0.0,0.011333333333333306,0.011333333333333334,0.03435251349546057,0,0,0,0,1,
has_lipid_med,750,0,0.0,2,0.0,710,0.9466666666666667,750,0.05333333333333334,0.05048888888888888,100,0,0.0,2,0.0,95,0.95,100,0.05,0.04750000000000001,2,1,1,0.0,0.0033333333333332993,0.003333333333333334,0.015059318775498586,0,0,0,0,1,
high_cholesterol,750,0,0.0,2,0.0,645,0.86,750,0.14,0.12039999999999998,100,0,0.0,2,0.0,89,0.89,100,0.11,0.09790000000000001,2,1,1,0.0,0.030000000000000027,0.030000000000000013,0.0908049209529004,0,0,0,0,1,
homeowner,750,0,0.0,2,1.0,668,0.8906666666666667,750,0.8906666666666667,0.09737955555555555,100,0,0.0,2,1.0,88,0.88,100,0.88,0.1056,2,1,1,0.0,0.010666666666666713,0.010666666666666713,0.0334824765091214,0,0,0,0,1,
hypertension,750,0,0.0,2,0.0,415,0.5533333333333333,750,0.44666666666666666,0.24715555555555552,100,0,0.0,2,0.0,52,0.52,100,0.48,0.24959999999999993,2,1,1,0.0,0.033333333333333326,0.033333333333333326,0.06688402132951042,0,0,0,0,1,
