GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,33,7,7,26
2/3,2,30,4,4,26
2/4,1,3,7,3,0
2/4,2,9,4,4,5
3/3,1,122,83,83,39
3/3,2,190,55,55,135
3/4,1,27,108,27,0
3/4,2,88,73,73,15
4/4,1,2,33,2,0
4/4,2,9,26,9,0
