GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,33,7,7,26
2/3,2,34,4,4,30
2/4,1,3,7,3,0
2/4,2,10,4,4,6
3/3,1,136,83,83,53
3/3,2,206,55,55,151
3/4,1,40,108,40,0
3/4,2,97,73,73,24
4/4,1,5,33,5,0
4/4,2,12,26,12,0
