column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
npi_depression_severity,0,730,1.0,0,,0,,0,,,0,88,1.0,0,,0,,0,,,0,1,,0.0,,,,0,0,0,0,0,all_missing_in_train
blurred_vision_symptom,16,714,0.9780821917808219,2,0.0,12,0.75,16,0.25,0.1875,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
chest_pain_symptom,16,714,0.9780821917808219,1,0.0,16,1.0,16,0.0,0.0,0,88,1.0,0,,0,,0,,,1,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
depressed_mood_symptom,16,714,0.9780821917808219,2,0.0,13,0.8125,16,0.1875,0.15234375,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
fall_symptom,16,714,0.9780821917808219,2,0.0,13,0.8125,16,0.1875,0.15234375,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
headache_symptom,16,714,0.9780821917808219,2,0.0,13,0.8125,16,0.1875,0.15234375,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
insomnia_symptom,16,714,0.9780821917808219,2,0.0,13,0.8125,16,0.1875,0.15234375,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
musculoskeletal_pain_symptom,16,714,0.9780821917808219,2,0.0,9,0.5625,16,0.4375,0.24609375,0,88,1.0,0,,0,,0,,,2,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
symptom_burden_current,16,714,0.9780821917808219,4,1.0,6,0.375,16,1.4375,0.99609375,0,88,1.0,0,,0,,0,,,4,1,,0.021917808219178103,,,,0,0,0,0,0,high_missingness
NPIK8,53,677,0.9273972602739726,2,0.0,50,0.9433962264150944,53,0.05660377358490566,0.053399786400854396,9,79,0.8977272727272727,1,0.0,9,1.0,9,0.0,0.0,2,1,1,0.029669987546699916,0.05660377358490565,0.05660377358490566,0.34641016151377546,0,0,0,0,0,high_missingness
