GENOTYPE,PTGENDER,n_transition,n_stable
2/2,1,0,1
2/3,1,7,31
2/3,2,5,31
2/4,1,1,3
2/4,2,0,4
3/3,1,32,126
3/3,2,25,173
3/4,1,16,44
3/4,2,17,85
4/4,1,2,4
4/4,2,1,10
