GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,33,7,7,26
2/3,2,33,4,4,29
2/4,1,3,7,3,0
2/4,2,9,4,4,5
3/3,1,132,83,83,49
3/3,2,197,55,55,142
3/4,1,33,108,33,0
3/4,2,89,73,73,16
4/4,1,4,33,4,0
4/4,2,9,26,9,0
