GENOTYPE,PTGENDER,n_transition,n_stable
2/2,1,0,3
2/2,2,0,1
2/3,1,7,40
2/3,2,7,41
2/4,1,1,4
2/4,2,0,10
3/3,1,36,172
3/3,2,26,232
3/4,1,18,58
3/4,2,17,114
4/4,1,3,8
4/4,2,1,13
