GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,34,8,8,26
2/3,2,30,4,4,26
2/4,1,3,7,3,0
2/4,2,9,4,4,5
3/3,1,123,85,85,38
3/3,2,191,55,55,136
3/4,1,28,109,28,0
3/4,2,88,73,73,15
4/4,1,2,33,2,0
4/4,2,9,26,9,0
