column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
plasma_ptau217_abeta42_ratio,224,502,0.6914600550964187,213,0.00305,3,0.013392857142857142,224,0.013361145888392859,0.00044292618866884705,25,53,0.6794871794871795,25,0.00465,1,0.04,25,0.01085241648,0.0002413624974465328,236,0,,0.011972875609239209,0.026607142857142857,0.002508729408392859,0.1356279317008442,0,0,0,0,1,
npi_depression_item_score,439,287,0.3953168044077135,8,0.0,378,0.8610478359908884,439,0.2733485193621868,0.8956678306982634,46,32,0.41025641025641024,4,0.0,38,0.8260869565217391,46,0.30434782608695654,0.5160680529300568,8,1,1,0.014939605848696746,0.034960879469149275,0.03099930672476975,0.03689693169299888,0,0,0,0,1,
npi_sleep_item_score,439,287,0.3953168044077135,9,0.0,386,0.8792710706150342,439,0.4760820045558087,2.559222918104411,46,32,0.41025641025641024,3,0.0,39,0.8478260869565217,46,0.32608695652173914,0.7414933837429111,9,1,1,0.014939605848696746,0.03144498365851245,0.14999504803406954,0.11675831536351892,0,0,0,0,1,
hemoglobin,451,275,0.3787878787878788,59,14.5,21,0.04656319290465632,451,13.900221729490022,1.4067627002817096,53,25,0.32051282051282054,33,14.6,3,0.05660377358490566,53,13.799999999999999,1.3984905660377354,62,0,,0.058275058275058245,0.010040580680249343,0.10022172949002339,0.0846234744284708,0,0,0,0,1,
vitamin_b12,456,270,0.371900826446281,347,316.0,5,0.010964912280701754,456,533.4802631578947,150333.81539993075,52,26,0.3333333333333333,49,255.0,2,0.038461538461538464,52,545.6346153846154,111014.50110946748,377,0,,0.03856749311294766,0.02749662618083671,12.154352226720675,0.0336230388334959,0,0,0,0,1,
csf_ptau_abeta42_ratio,468,258,0.35537190082644626,468,0.039105956536426074,1,0.002136752136752137,468,0.034558847232325496,0.0008402838855418358,54,24,0.3076923076923077,54,0.04336495888678052,1,0.018518518518518517,54,0.0266654393300765,0.00045111165779035005,522,0,,0.047679593134138554,0.01638176638176638,0.007893407902248996,0.31063465319912603,0,0,0,0,1,
csf_ptau,469,257,0.35399449035812675,433,16.77,3,0.006396588486140725,469,26.864904051172708,189.95827147267016,54,24,0.3076923076923077,53,21.4,2,0.037037037037037035,54,21.611851851851853,85.38110027434843,480,0,,0.046302182665819036,0.03064044855089631,5.253052199320855,0.4477056298801943,0,0,0,0,1,
csf_ptau_tau_ratio,469,257,0.35399449035812675,469,0.0977759009009009,1,0.0021321961620469083,469,0.0934075804268489,9.403937799758015e-05,54,24,0.3076923076923077,54,0.09853406151192873,1,0.018518518518518517,54,0.09061774551258218,6.556777930191033e-05,523,0,,0.046302182665819036,0.01638632235647161,0.002789834914266709,0.3122966471400382,0,0,0,0,1,
csf_tau_abeta42_ratio,469,257,0.35399449035812675,469,0.39995496002702396,1,0.0021321961620469083,469,0.3514807530000808,0.06757105963115966,54,24,0.3076923076923077,54,0.44010120177103096,1,0.018518518518518517,54,0.2825140242904037,0.04259612682018733,523,0,,0.046302182665819036,0.01638632235647161,0.06896672870967713,0.29385189475517054,0,0,0,0,1,
csf_tau,470,256,0.3526170798898072,446,250.1,3,0.006382978723404255,470,280.2440638297872,14417.969004123586,54,24,0.3076923076923077,54,347.9,1,0.018518518518518517,54,234.6888888888889,7352.0302469135795,490,0,,0.04492477219749946,0.012135539795114263,45.5551749408983,0.436639991162775,0,0,0,0,1,
csf_abeta42,471,255,0.3512396694214876,448,1079.0,3,0.006369426751592357,471,1080.0721868365179,373613.1151712262,54,24,0.3076923076923077,54,790.5,1,0.018518518518518517,54,1135.953703703704,356901.82174554176,497,0,,0.04354736172917989,0.01214909176692616,55.881516867186065,0.09246313916831353,0,0,0,0,1,
baseline_blurred_vision,511,215,0.29614325068870523,2,0.0,479,0.9373776908023483,511,0.06262230919765166,0.05870075558840537,60,18,0.23076923076923078,2,0.0,57,0.95,60,0.05,0.04749999999999998,2,1,1,0.06537401991947445,0.012622309197651616,0.012622309197651657,0.054775961424723414,0,0,0,0,1,
baseline_depressed_mood,511,215,0.29614325068870523,2,0.0,457,0.8943248532289628,511,0.10567514677103718,0.09450791012595693,60,18,0.23076923076923078,2,0.0,57,0.95,60,0.05,0.047499999999999994,2,1,1,0.06537401991947445,0.05567514677103713,0.05567514677103717,0.20893928315553834,0,0,0,0,1,
baseline_fall,511,215,0.29614325068870523,2,0.0,482,0.9432485322896281,511,0.05675146771037182,0.05353073862309044,60,18,0.23076923076923078,2,0.0,58,0.9666666666666667,60,0.03333333333333333,0.032222222222222215,2,1,1,0.06537401991947445,0.023418134377038546,0.023418134377038484,0.11309482411100695,0,0,0,0,1,
baseline_headache,511,215,0.29614325068870523,2,0.0,458,0.8962818003913894,511,0.10371819960861056,0.09296073467855898,60,18,0.23076923076923078,2,0.0,57,0.95,60,0.05,0.047499999999999994,2,1,1,0.06537401991947445,0.05371819960861057,0.05371819960861056,0.20270244101514914,0,0,0,0,1,
baseline_insomnia,511,215,0.29614325068870523,2,0.0,431,0.8434442270058709,511,0.15655577299412915,0.1320460629363399,60,18,0.23076923076923078,2,0.0,52,0.8666666666666667,60,0.13333333333333333,0.11555555555555558,2,1,1,0.06537401991947445,0.023222439660795846,0.02322243966079582,0.06600032914007097,0,0,0,0,1,
baseline_musculoskeletal_pain,511,215,0.29614325068870523,2,0.0,301,0.589041095890411,511,0.410958904109589,0.24207168324263462,60,18,0.23076923076923078,2,0.0,35,0.5833333333333334,60,0.4166666666666667,0.24305555555555552,2,1,1,0.06537401991947445,0.005707762557077611,0.005707762557077667,0.011589189546769532,0,0,0,0,1,
symptom_burden_baseline,511,215,0.29614325068870523,7,0.0,210,0.410958904109589,511,0.9178082191780822,1.0147709299520145,60,18,0.23076923076923078,5,0.0,29,0.48333333333333334,60,0.7666666666666667,0.9122222222222224,8,1,1,0.06537401991947445,0.07237442922374432,0.15114155251141548,0.15397804139852383,0,0,0,0,1,
hachinski_hypertension_history,689,37,0.05096418732782369,2,0.0,373,0.5413642960812772,689,0.45863570391872277,0.24828899500970047,75,3,0.038461538461538464,2,0.0,38,0.5066666666666667,75,0.49333333333333335,0.2499555555555556,2,1,1,0.01250264886628523,0.03469762941461052,0.034697629414610576,0.06951740041142748,0,0,0,0,1,
somatic_complaints,689,37,0.05096418732782369,2,0.0,671,0.9738751814223512,689,0.026124818577648767,0.025442312431933702,75,3,0.038461538461538464,2,0.0,73,0.9733333333333334,75,0.02666666666666667,0.025955555555555558,2,1,1,0.01250264886628523,0.0005418480890178046,0.0005418480890179017,0.00338002561544185,0,0,0,0,1,
