GENOTYPE,PTGENDER,n_transition,n_stable
2/2,1,0,3
2/2,2,0,1
2/3,1,6,40
2/3,2,8,41
2/4,1,0,4
2/4,2,1,10
3/3,1,40,172
3/3,2,30,232
3/4,1,23,58
3/4,2,15,114
4/4,1,6,8
4/4,2,3,13
