GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,34,7,7,27
2/3,2,33,4,4,29
2/4,1,4,7,4,0
2/4,2,9,4,4,5
3/3,1,132,83,83,49
3/3,2,202,55,55,147
3/4,1,35,108,35,0
3/4,2,99,73,73,26
4/4,1,2,33,2,0
4/4,2,10,26,10,0
