GENOTYPE,PTGENDER,n_remaining_stable,n_ci_dementia,n_augmentation_matches,n_remaining_stable_unmatched
2/2,1,3,0,0,3
2/2,2,1,0,0,1
2/3,1,33,7,7,26
2/3,2,36,4,4,32
2/4,1,3,7,3,0
2/4,2,10,4,4,6
3/3,1,141,83,83,58
3/3,2,208,55,55,153
3/4,1,43,108,43,0
3/4,2,98,73,73,25
4/4,1,6,33,6,0
4/4,2,12,26,12,0
