column,train_non_missing_n,train_missing_n,train_missing_fraction,train_unique_non_missing_n,train_mode_value,train_mode_count,train_mode_fraction,train_numeric_observed_n,train_numeric_mean,train_numeric_variance,test_non_missing_n,test_missing_n,test_missing_fraction,test_unique_non_missing_n,test_mode_value,test_mode_count,test_mode_fraction,test_numeric_observed_n,test_numeric_mean,test_numeric_variance,combined_unique_non_missing_n,mode_comparison_eligible,mode_value_match,missing_fraction_abs_diff,mode_fraction_abs_diff,numeric_mean_abs_diff,numeric_standardized_mean_diff,missingness_shift_flag,mode_shift_flag,numeric_mean_shift_flag,train_test_shift_flag,keep_for_modeling,drop_reason
npi_sleep_severity,30,634,0.9548192771084337,3,1.0,23,0.7666666666666667,30,1.2666666666666666,0.26222222222222225,4,68,0.9444444444444444,1,1.0,4,1.0,4,1.0,0.0,3,1,1,0.010374832663989308,0.23333333333333328,0.2666666666666666,0.7364596943186585,0,1,1,1,0,high_missingness
NPIK1,46,618,0.9307228915662651,2,0.0,27,0.5869565217391305,46,0.41304347826086957,0.2424385633270321,7,65,0.9027777777777778,2,1.0,4,0.5714285714285714,7,0.5714285714285714,0.2448979591836735,2,1,0,0.027945113788487297,0.015527950310559091,0.15838509316770183,0.3208594407833018,0,1,0,1,0,high_missingness
NPIK9A,46,618,0.9307228915662651,4,3.0,21,0.45652173913043476,46,2.760869565217391,0.8775992438563326,7,65,0.9027777777777778,2,3.0,4,0.5714285714285714,7,2.142857142857143,0.979591836734694,4,1,1,0.027945113788487297,0.11490683229813664,0.6180124223602483,0.6413334735378297,0,0,1,1,0,high_missingness
npi_sleep_symptom_count,46,618,0.9307228915662651,5,1.0,20,0.43478260869565216,46,1.8043478260869565,0.853024574669187,7,65,0.9027777777777778,3,2.0,3,0.42857142857142855,7,2.0,0.5714285714285714,5,1,0,0.027945113788487297,0.006211180124223614,0.19565217391304346,0.23183317938272852,0,1,0,1,0,high_missingness
NPID9A,53,611,0.9201807228915663,4,1.0,39,0.7358490566037735,53,1.3962264150943395,0.5411178355286579,7,65,0.9027777777777778,3,2.0,4,0.5714285714285714,7,1.8571428571428572,0.40816326530612246,4,1,0,0.01740294511378848,0.16442048517520214,0.46091644204851767,0.6690210480339043,0,1,1,1,0,high_missingness
NPID9C,53,611,0.9201807228915663,5,1.0,20,0.37735849056603776,53,1.5660377358490567,0.9626201495194019,7,65,0.9027777777777778,3,2.0,3,0.42857142857142855,7,2.0,0.5714285714285714,5,1,0,0.01740294511378848,0.051212938005390785,0.4339622641509433,0.4955042545237732,0,1,0,1,0,high_missingness
npi_depression_symptom_count,53,611,0.9201807228915663,7,1.0,22,0.41509433962264153,53,2.018867924528302,1.4524741901032394,7,65,0.9027777777777778,4,2.0,3,0.42857142857142855,7,1.7142857142857142,1.3469387755102038,7,1,0,0.01740294511378848,0.01347708894878702,0.3045822102425879,0.2574459397478204,0,1,0,1,0,high_missingness
plasma_abeta42,187,477,0.7183734939759037,180,20.22,2,0.0106951871657754,187,24.50058823529412,50.59168788927335,29,43,0.5972222222222222,28,31.12,2,0.06896551724137931,29,26.84689655172414,50.09072485136743,203,0,,0.12115127175368146,0.05827033007560391,2.3463083164300187,0.3306916816221321,1,0,0,1,0,high_missingness
plasma_abeta42_abeta40_ratio,187,477,0.7183734939759037,166,0.0973,3,0.016042780748663103,187,0.08757309619251338,0.00022286113438267893,29,43,0.5972222222222222,29,0.1941,1,0.034482758620689655,29,0.11351855679310346,0.01139389123391849,182,0,,0.12115127175368146,0.01843997787202655,0.02594546060059008,0.3404348538778565,1,0,0,1,0,high_missingness
plasma_ptau217,187,477,0.7183734939759037,152,0.072,4,0.0213903743315508,187,0.26240641711229945,0.0856612465898367,29,43,0.5972222222222222,28,0.193,2,0.06896551724137931,29,0.22424137931034482,0.028241976218787154,168,0,,0.12115127175368146,0.047575142909828505,0.03816503780195463,0.15992364825727082,1,0,0,1,0,high_missingness
plasma_ptau217_abeta42_ratio,187,477,0.7183734939759037,178,0.00371,2,0.0106951871657754,187,0.013810918513368983,0.000495072681950625,29,43,0.5972222222222222,29,0.00463,1,0.034482758620689655,29,0.00916698048275862,5.0356226579342464e-05,204,0,,0.12115127175368146,0.023787571454914253,0.0046439380306103634,0.2812110211369345,1,0,0,1,0,high_missingness
faq_events,662,2,0.0030120481927710845,5,0.0,569,0.8595166163141994,662,0.44561933534743203,1.3316348883270503,72,0,0.0,1,0.0,72,1.0,72,0.0,0.0,5,1,1,0.0030120481927710845,0.1404833836858006,0.44561933534743203,0.546117938132077,0,0,1,1,0,mode_dominance
faq_reminders,662,2,0.0030120481927710845,6,0.0,476,0.7190332326283988,662,0.947129909365559,2.439802940827484,72,0,0.0,4,0.0,65,0.9027777777777778,72,0.2777777777777778,0.7839506172839505,6,1,1,0.0030120481927710845,0.183744545149379,0.6693521315877812,0.5272161815540795,0,0,1,1,0,mode_dominance
npi_depression_severity,0,664,1.0,0,,0,,0,,,0,72,1.0,0,,0,,0,,,0,1,,0.0,,,,0,0,0,0,0,all_missing_in_train
blurred_vision_symptom,16,648,0.9759036144578314,2,0.0,12,0.75,16,0.25,0.1875,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
chest_pain_symptom,16,648,0.9759036144578314,1,0.0,16,1.0,16,0.0,0.0,0,72,1.0,0,,0,,0,,,1,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
depressed_mood_symptom,16,648,0.9759036144578314,2,0.0,13,0.8125,16,0.1875,0.15234375,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
fall_symptom,16,648,0.9759036144578314,2,0.0,13,0.8125,16,0.1875,0.15234375,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
headache_symptom,16,648,0.9759036144578314,2,0.0,13,0.8125,16,0.1875,0.15234375,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
insomnia_symptom,16,648,0.9759036144578314,2,0.0,13,0.8125,16,0.1875,0.15234375,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
musculoskeletal_pain_symptom,16,648,0.9759036144578314,2,0.0,9,0.5625,16,0.4375,0.24609375,0,72,1.0,0,,0,,0,,,2,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
symptom_burden_current,16,648,0.9759036144578314,4,1.0,6,0.375,16,1.4375,0.99609375,0,72,1.0,0,,0,,0,,,4,1,,0.02409638554216864,,,,0,0,0,0,0,high_missingness
NPIK8,45,619,0.9322289156626506,2,0.0,42,0.9333333333333333,45,0.06666666666666667,0.06222222222222223,7,65,0.9027777777777778,1,0.0,7,1.0,7,0.0,0.0,2,1,1,0.029451137884872858,0.06666666666666665,0.06666666666666667,0.3779644730092272,0,0,0,0,0,high_missingness
NPIK2,46,618,0.9307228915662651,2,1.0,27,0.5869565217391305,46,0.5869565217391305,0.24243856332703215,7,65,0.9027777777777778,2,1.0,5,0.7142857142857143,7,0.7142857142857143,0.2040816326530612,2,1,1,0.027945113788487297,0.1273291925465838,0.1273291925465838,0.26947745027170206,0,0,0,0,0,high_missingness
NPIK3,46,618,0.9307228915662651,2,0.0,45,0.9782608695652174,46,0.021739130434782608,0.021266540642722112,7,65,0.9027777777777778,1,0.0,7,1.0,7,0.0,0.0,2,1,1,0.027945113788487297,0.021739130434782594,0.021739130434782608,0.21081851067789198,0,0,0,0,0,high_missingness
NPIK4,46,618,0.9307228915662651,2,0.0,34,0.7391304347826086,46,0.2608695652173913,0.19281663516068046,7,65,0.9027777777777778,2,0.0,4,0.5714285714285714,7,0.42857142857142855,0.24489795918367344,2,1,1,0.027945113788487297,0.16770186335403725,0.16770186335403725,0.3584737610129136,0,0,0,0,0,high_missingness
NPIK5,46,618,0.9307228915662651,1,0.0,46,1.0,46,0.0,0.0,7,65,0.9027777777777778,1,0.0,7,1.0,7,0.0,0.0,1,1,1,0.027945113788487297,0.0,0.0,0.0,0,0,0,0,0,high_missingness
