comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,-0.0051,-0.0349,0.0242,0.6262,10000
MRF vs BMCA,-0.2914,-0.3636,-0.2196,1.0,10000
LIBRA vs BMCA,-0.3084,-0.3836,-0.2354,1.0,10000
