model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7922,0.7441,0.8395,"[0.73, 0.816, 0.856, 0.856, 0.709]"
MRF,0.5008,0.4426,0.5595,"[0.46, 0.56, 0.52, 0.522, 0.516]"
BMCA+MRF,0.7871,0.7362,0.8357,"[0.732, 0.812, 0.862, 0.861, 0.678]"
LIBRA,0.4837,0.4172,0.5517,[]
