model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.8109,0.7575,0.8626,"[0.888, 0.819, 0.853, 0.79, 0.754]"
MRF,0.5221,0.4548,0.5919,"[0.514, 0.558, 0.588, 0.457, 0.52]"
BMCA+MRF,0.8014,0.7452,0.8582,"[0.887, 0.809, 0.853, 0.729, 0.754]"
LIBRA,0.4724,0.3976,0.5468,[]
