model,oof_auc,ci_low_95,ci_high_95,fold_aucs
BMCA,0.7653,0.715,0.8159,"[0.765, 0.682, 0.859, 0.797, 0.763]"
MRF,0.5504,0.4947,0.6084,"[0.55, 0.464, 0.615, 0.632, 0.574]"
BMCA+MRF,0.7545,0.7039,0.8056,"[0.786, 0.679, 0.778, 0.805, 0.808]"
