comparison,observed_diff,ci_low_95,ci_high_95,p_value,n_boot
BMCA+MRF vs BMCA,0.0117,-0.0151,0.0404,0.2016,10000
MRF vs BMCA,-0.1919,-0.2921,-0.0948,0.9998,10000
